paperType,paperCategory,paperSubCategory,paperName,sectionName,SectionType,subSectionName,questionNumber,question,questionImage,option1,option1_Image,option2,option2_Image,option3,option3_Image,option4,option4_Image,correctOption,answerDescription1,answerDescriptionImage,complexityLevel,complexityScore,type,totalScore
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Intelligence,GeneralIntelligence,Analogy,1,"GLOW: FJNU : : PTEL :?",,ORFN,,ORDJ,,ORJD,,OPNF,,2,"G-1=F L-2=J O-1=N W-2=U Similarly, P-1=O T-2=R E-1=D L-2=J Hence, option B is the right answer.",,medium,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Intelligence,GeneralIntelligence,Series,2,"In the following question, select the related number from the given alternatives.",,215,,216,,217,,220,,1,"5^3 = 125, 125-1=124. Similarly, 6^3 = 216, 216-1=215. Hence, option A is the right answer.",,high,10,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Intelligence,GeneralIntelligence,Series,3,"In the following question, select the odd word pair from the given alternatives.",,Error:Accurate,,Careless:Casual,,Strength:Lethargy,,Gloomy:Cheerful,,2,"Error is the opposite of accurate. Strength is the opposite of lethargy. Gloomy is the opposite of cheerful. But in option B careless and casual have the same meanings. Hence, option B is the correct response.",,high,10,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Intelligence,GeneralIntelligence,Alphabet or word test,4,"In the following question, select the odd letters from the given alternatives.",,FUGT,,KPLO,,DWEV,,CWEX,,4,"FUGT - F+1 = G, U-1 = T. KPLO - K+1 = L, P-1 = O. DWEV - D+1 = E, W-1 = V. CWEX - C+2 = E, W+1 = X. Hence, option D is the correct response.",,high,10,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Awareness,GeneralAwareness,General knowledge,5,"Which one of the following is a component of Food Security System?",,Buffer stock,,Minimum support price,,Fair price shops,,All of these,,4,"Food security System comprises creating buffer stock by offering minimum support price to farmers, and distributing it through Fair price shops.",,medium,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Awareness,GeneralAwareness,General knowledge,6,"What is the accepted average Calorie requirement for rural area in India?",,2100,,2200,,2300,,2400,,4,"The accepted calories requirement for rural areas in India is 2400 due to labour intensive nature of work like agriculture.",,medium,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Awareness,GeneralAwareness,General knowledge,7,"Whose recommendation is mandatory to impeach the President of India from his office before the completion of his/her term?",,The Prime Minister,,The Speaker of the Lok Sabha,,The Chief Justice of India,,The two houses of the parliament,,4,"The impeachment of the president (Article 61) necessitates consent of two houses of parliament by 2/3rd majority.",,medium,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Awareness,GeneralAwareness,General knowledge,8,"How many types of writ are there in the Indian Constitution?",,5,,4,,3,,2,,1,"Five writs: Habeas Corpus, Mandamus, Certiorari, Prohibition, Quo Warranto.",,medium,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,General Awareness,GeneralAwareness,General knowledge,9,"Who has built the Vijay Stambha (Tower of Victory) in Chittorgarh?",,Maharana Pratap,,Rana Kumbha,,Rana Sanga,,Kunwar Durjan Singh,,2,"Vijay Stambha was built by Rana Kumbha and is dedicated to lord Vishnu. Built to commemorate victory over Gujarat and Malwa armies led by Mahmud Khilji.",,medium,5,mcq,200
SSC,SSC_CGL,SSC_CGL_TIER1,ssc-tier-paper-2,Quantitative Aptitude,QuantitativeAptitude,Mixture problems,10,"A mixture contains milk and water in the ratio 5:1. On adding 5 litres of water, the ratio becomes 5:2. What is the quantity of milk?",,25 litres,,20 litres,,30 litres,,15 litres,,1,"Let milk = 5x, water = x. After adding 5L water: 5x/(x+5) = 5/2. Solving: 10x = 5x+25, x=5. Milk = 5*5 = 25 litres.",,medium,5,mcq,200
